description,cat_sub,category,subcategory
"pasta int vitapower 1,005kg amend/shot",0_0,0,0
esponja bettanin brilhus c/1,1_1,1,1
agua min schin s/gas 500ml,2_2,2,2
fita dupla face c/suporte scotch,3_3,3,3
massa pizza romanha oregano pct 160g,4_4,4,4
bisc lanch bauducco recheadinho chocolate 104g,5_5,5,5
vinho frances chevalier chablis bco 750ml,6_6,6,6
des roll rexona invisible 50ml,7_7,7,7
"sorvete nobrelli 1,5l pt flocos",8_8,8,8
noz moscada konsabor 10g,9_9,9,9
t.imedia excell kit gts co.elseve 7.1 lour.acz.,10_10,10,10
salgadinho batata tonys 160g cebola,11_11,11,11
suco conc serigy caju 500ml,12_12,12,12
faca de sashimi (ao inoxidvel -daiso,13_13,13,13
cerveja tupiniquim premium lag gfa 600ml,14_14,14,14
suco suvalan 100% uva 1l,15_12,15,12
vinho frances d gillieres muscadet bco 750ml,6_6,6,6
refrig xereta maca pet 350ml,16_15,16,15
tira mancha po inove blanc class 450g,17_16,17,16
pipoca pron doce tuick 50g,11_17,11,17
"combo montain dew 1,5l-pet lv2pg1",16_18,16,18
bisteca bov hereford eg kg,18_19,18,19
mac la veneziane 200g rigatoni s/gluten,19_20,19,20
"cafe capital 500g, tradicional puro",20_21,20,21
sandalia havaianas top disney amar banana 35/36,21_22,21,22
lava roupa liq brilhante 1l,22_23,22,23
bisc bauducco wafer 78g brigadeiro,5_24,5,24
evap lib lg 9000 qf dual inv 220v,23_25,23,25
"alim p gatos magnus cat 1kg, mix",24_26,24,26
requeijao crem.itambe ervas finas 220gr,25_27,25,27
farinha mandioca monsil 1kg,26_28,26,28
pascoa ovo nestle sollys 190g,27_29,27,29
doce tenere 200gr fondant c/chocolate,28_30,28,30
pegador massa unilar nylon preto cabo amarelo,29_31,29,31
ovos label masterchef caipira c/6,30_32,30,32
prato oxford porc fdo 23cm bco,31_33,31,33
balao big 1und conexao multicor,32_34,32,34
acucar mascavo guimaraes org 300g,33_35,33,35
