description,cat_sub,category,subcategory,desc
sandalia havaianas top disney amar banana 35/36,21_22,21,22,sandaliahavaianas havaianastop sandaliatop sandalia36 sandalia35 sandalia havaianas top disney amar banana 35 36
sandalia havaianas top max cinza aco 45/46,21_22,21,22,sandaliahavaianas havaianastop sandaliatop sandalia46 sandalia45 sandalia havaianas top max cinza aco 45 46
sand havaianas sl org 33/34 areia,21_22,21,22,sandhavaianas havaianassl sandsl sandareia sand34 sand havaianas sl org 33 34 areia
sand (f) havaianas t max st 41/42 bc/mar,21_22,21,22,sandfemale femalehavaianas sandhavaianas sandmar sandbcom sand female havaianas max st 41 42 bcom mar
sandalia havaianas surf bg/pt 39x40,21_22,21,22,sandaliahavaianas havaianassurf sandaliasurf sandalia39x40 sandaliapt sandalia havaianas surf bg pt 39x40
sand havaianas promocional surf 41/42 preto/cza chumbo,21_22,21,22,sandhavaianas havaianaspromocional sandpromocional sandchumbo sandcza sand havaianas promocional surf 41 42 preto cza chumbo
sand ad havaianas brasil lg 37.38 azul nava,21_22,21,22,sandad adhavaianas sandhavaianas sandnava sandazul sand ad havaianas brasil lg 37 38 azul nava
sandalia ipanema homem aranha .,21_22,21,22,sandaliaipanema ipanemahomem sandaliahomem sandaliaaranha sandaliahomem sandalia ipanema homem aranha
sandalia havaianas slim animals rosa croco 33/34,21_22,21,22,sandaliahavaianas havaianasslim sandaliaslim sandalia34 sandalia33 sandalia havaianas slim animals rosa croco 33 34
sand (f) havaianas t disney 33/34 rosa p,21_22,21,22,sandfemale femalehavaianas sandhavaianas sandrosa sand34 sand female havaianas disney 33 34 rosa
sandalia havaianas top trend bco/mor 37/38,21_22,21,22,sandaliahavaianas havaianastop sandaliatop sandalia38 sandalia37 sandalia havaianas top trend bco mor 37 38
sandalia havaianas stylish am/neon 41x42,21_22,21,22,sandaliahavaianas havaianasstylish sandaliastylish sandalia41x42 sandalianeon sandalia havaianas stylish am neon 41x42
sand havaianas trad 1pr. rosa holl 35/36,21_22,21,22,sandhavaianas havaianastrad sandtrad sand36 sand35 sand havaianas trad 1pr rosa holl 35 36
sand havaianas slim romance 37/8 coral,21_22,21,22,sandhavaianas havaianasslim sandslim sandcoral sand37 sand havaianas slim romance 37 coral
sandalia havaianas flat sunset bco/amarelo 35/36,21_22,21,22,sandaliahavaianas havaianasflat sandaliaflat sandalia36 sandalia35 sandalia havaianas flat sunset bco amarelo 35 36
sand ipanema nature ad 37 az/az,21_22,21,22,sandipanema ipanemanature sandnature sandaz sandaz sand ipanema nature ad 37 az az
sandalia havaianas flat sunset green neon 41/42,21_22,21,22,sandaliahavaianas havaianasflat sandaliaflat sandalia42 sandalia41 sandalia havaianas flat sunset green neon 41 42
sand ad inup slim feminina ilm 002 37/38,21_22,21,22,sandad adinup sandinup sand38 sand37 sand ad inup slim feminina ilm 002 37 38
sand mormaii neocycle 39 pto/cinza,21_22,21,22,sandmormaii mormaiineocycle sandneocycle sandcinza sandpto sand mormaii neocycle 39 pto cinza
sandalia havaianas slim tropical morango 41/42,21_22,21,22,sandaliahavaianas havaianasslim sandaliaslim sandalia42 sandalia41 sandalia havaianas slim tropical morango 41 42
sand havaianas promocional lilas,21_22,21,22,sandhavaianas havaianaspromocional sandpromocional sandlilas sandpromocional sand havaianas promocional lilas
sand havaianas trad 1pr. azul 33/34,21_22,21,22,sandhavaianas havaianastrad sandtrad sand34 sand33 sand havaianas trad 1pr azul 33 34
sand havaianas promocional cinza,21_22,21,22,sandhavaianas havaianaspromocional sandpromocional sandcinza sandpromocional sand havaianas promocional cinza
"sand havaianas aloh 1819, 43/44, b/p/c",21_22,21,22,sandhavaianas havaianasaloh sandaloh sandpara sand44 sand havaianas aloh 1819 43 44 para
sandalia havaianas casual vermelho/cinza 45/46,21_22,21,22,sandaliahavaianas havaianascasual sandaliacasual sandalia46 sandalia45 sandalia havaianas casual vermelho cinza 45 46
sandalia havaianas got pt 43x44,21_22,21,22,sandaliahavaianas havaianasgot sandaliagot sandalia43x44 sandaliapt sandalia havaianas got pt 43x44
sandalia havaianas top verm rubi 43/44,21_22,21,22,sandaliahavaianas havaianastop sandaliatop sandalia44 sandalia43 sandalia havaianas top verm rubi 43 44
sand havaianas slim prices 25/6 ama pole,21_22,21,22,sandhavaianas havaianasslim sandslim sandpole sandama sand havaianas slim prices 25 ama pole
sand havaianas slim royal 1pr marinho 39/40,21_22,21,22,sandhavaianas havaianasslim sandslim sand40 sand39 sand havaianas slim royal 1pr marinho 39 40
sand ad havaianas allegra 39/40 rosa/gold,21_22,21,22,sandad adhavaianas sandhavaianas sandgold sandrosa sand ad havaianas allegra 39 40 rosa gold
sandalia havaianas 4 nite branc/preto 39/40,21_22,21,22,sandaliahavaianas havaianasnite sandalianite sandalia40 sandalia39 sandalia havaianas nite brancom preto 39 40
sandalia havaiana slim logo pop up blue 41/42,21_22,21,22,sandaliahavaiana havaianaslim sandaliaslim sandalia42 sandalia41 sandalia havaiana slim logo pop up blue 41 42
sand ad havaianas slim paisage 33/34 bco/amare,21_22,21,22,sandad adhavaianas sandhavaianas sandamare sandbco sand ad havaianas slim paisage 33 34 bco amare
"sand havaianas alleg prin, 35/36, rs",21_22,21,22,sandhavaianas havaianasalleg sandalleg sandrs sand36 sand havaianas alleg prin 35 36 rs
sand havaianas sl pet 37/8 maca verd,21_22,21,22,sandhavaianas havaianassl sandsl sandverd sandmaca sand havaianas sl pet 37 maca verd
sand ad ipanema charme mad i bege/preto,21_22,21,22,sandad adipanema sandipanema sandpreto sandbege sand ad ipanema charme mad bege preto
